2023-09-19 11:32:52,319 INFO     {'op': 'connect', 'status': 'success', 'message': 'Queue master process started successfully.'}
2023-09-19 11:32:52,628 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 11:33:02,584 INFO     {'op': 'start', 'status': 'error', 'message': 'The session has not been started. Contact your administrator.'}
2023-09-19 11:33:29,710 INFO     {'op': 'start', 'status': 'error', 'message': 'Некорректное значение количества файлов'}
2023-09-19 11:33:48,200 INFO     {'op': 'start', 'status': 'error', 'message': 'Некорректное значение количества файлов'}
2023-09-19 11:34:24,377 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 11:34:28,767 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 11:34:31,457 INFO     {'op': 'start', 'status': 'error', 'message': 'Некорректное значение количества файлов'}
2023-09-19 11:34:40,393 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 11:34:44,337 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 11:34:45,978 INFO     {'op': 'start', 'status': 'error', 'message': 'Некорректное значение количества файлов'}
2023-09-19 11:35:25,452 INFO     {'op': 'start', 'status': 'error', 'message': 'Некорректное значение количества файлов'}
2023-09-19 11:35:36,223 INFO     {'op': 'start', 'status': 'success', 'message': 'The session has successfully started, epicrises are expected.'}
2023-09-19 11:35:36,223 INFO     827
2023-09-19 11:35:39,213 INFO     {'op': 'file-income', 'status': 'success', 'message': 'Epicrisis sent from the platform - ID - 82215, Version - 1, TaskId - 22749'}
2023-09-19 11:35:39,216 INFO     {'current_epicrisis_path': '/home/petr/projects/baseline2.0/files/sessions/827/input/82215_1_22749.xml'}
2023-09-19 11:35:59,258 INFO     {'op': 'file-income', 'status': 'success', 'message': 'Epicrisis sent from the platform - ID - 82218, Version - 1, TaskId - 22750'}
2023-09-19 11:35:59,262 INFO     {'current_epicrisis_path': '/home/petr/projects/baseline2.0/files/sessions/827/input/82218_1_22750.xml'}
2023-09-19 11:36:19,247 INFO     {'op': 'file-income', 'status': 'success', 'message': 'Epicrisis sent from the platform - ID - 82221, Version - 1, TaskId - 22751'}
2023-09-19 11:36:19,251 INFO     {'current_epicrisis_path': '/home/petr/projects/baseline2.0/files/sessions/827/input/82221_1_22751.xml'}
2023-09-19 13:07:49,368 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 13:07:57,232 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 13:13:12,311 INFO     {'op': 'start', 'status': 'success', 'message': 'The session has successfully started, epicrises are expected.'}
2023-09-19 13:13:12,311 INFO     828
2023-09-19 13:13:15,311 INFO     {'op': 'file-income', 'status': 'success', 'message': 'Epicrisis sent from the platform - ID - 82215, Version - 1, TaskId - 22752'}
2023-09-19 13:13:15,314 INFO     {'current_epicrisis_path': '/home/petr/projects/baseline2.0/files/sessions/828/input/82215_1_22752.xml'}
2023-09-19 13:13:35,341 INFO     {'op': 'file-income', 'status': 'success', 'message': 'Epicrisis sent from the platform - ID - 82218, Version - 1, TaskId - 22753'}
2023-09-19 13:13:35,342 INFO     {'current_epicrisis_path': '/home/petr/projects/baseline2.0/files/sessions/828/input/82218_1_22753.xml'}
2023-09-19 13:13:55,349 INFO     {'op': 'file-income', 'status': 'success', 'message': 'Epicrisis sent from the platform - ID - 82221, Version - 1, TaskId - 22754'}
2023-09-19 13:13:55,352 INFO     {'current_epicrisis_path': '/home/petr/projects/baseline2.0/files/sessions/828/input/82221_1_22754.xml'}
2023-09-19 14:29:17,784 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 14:29:21,664 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 14:29:34,882 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 14:29:41,653 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 14:35:27,778 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 14:35:35,017 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 14:36:24,937 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 14:36:32,706 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:20:36,243 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:20:43,693 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:20:54,479 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:20:58,336 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:21:22,709 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:21:29,590 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:23:56,649 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:24:03,547 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:28:17,411 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:28:25,205 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:28:30,527 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:28:37,309 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:30:11,930 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:30:16,042 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:30:18,755 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:30:22,832 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:31:01,715 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:31:09,539 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:31:10,503 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:31:17,792 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:31:22,341 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:31:25,984 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:32:29,803 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:32:37,420 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:33:00,204 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:33:13,309 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:33:21,762 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:33:28,775 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:42:54,641 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:42:58,424 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:44:19,244 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:44:26,897 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:44:44,922 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:44:52,088 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:51:50,735 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:51:57,794 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:52:00,124 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:52:06,492 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
2023-09-19 15:54:05,034 INFO     {'op': 'disconnect', 'status': 'success', 'message': 'The connection to the platform has been lost.'}
2023-09-19 15:54:12,114 INFO     {'op': 'connect', 'status': 'success', 'message': 'The connection to the platform has been successfully established.'}
